INFORMATION

Date:	16/11/2025
Time:	19:06:37
Mode:	GYRO | AXL | MAGN | TIME
Freq:	50 Hz
Gyr FS: 500 dps;	Axl FS: 4 g;	Mag FS: 4 G;	Hdr FS: 100 g

DATA

Timestamp [ms][dev]	Gyr.X	Gyr.Y	Gyr.Z	Axl.X	Axl.Y	Axl.Z	Mag.X	Mag.Y	Mag.Z
1763319997707	-0.4025	1.3475	-1.715	-4.026	47.336	-1015.528	-232.6805	114.8787	101.4323
1763319997727	-0.4025	1.3475	-1.715	-4.026	47.336	-1015.528	-234.5805	117.3633	105.3785
1763319997747	0.2975	7.105	7.77	-1.586	48.922	-1023.702	-231.0728	114.8787	100.8477
1763319997767	0.4025	2.7475	2.765	-9.516	46.848	-1013.21	-228.8804	114.1479	106.1093
1763319997787	0.42	0.42	0.0875	-4.88	47.824	-1014.796	-229.6112	115.7556	108.594
1763319997807	0.385	0.4025	0.14	-10.858	45.75	-1020.896	-235.4575	112.394	106.8401
1763319997827	0.3675	0.4725	0.1925	-7.32	46.97	-1014.918	-229.3189	115.6095	105.6709
1763319997847	0.4025	0.455	0.28	-3.294	47.458	-1013.576	-231.8036	114.8787	114.1479
1763319997867	0.385	0.455	0.315	-4.636	43.188	-1016.992	-232.0959	117.071	109.4709
1763319997887	0.4725	0.4375	0.245	-6.588	45.262	-1021.018	-233.5574	119.5557	104.0631
1763319997907	0.49	0.5075	0.28	-0.976	44.53	-1020.042	-233.7036	115.9018	111.8094
1763319997927	0.3675	0.49	0.2275	-5.856	45.262	-1018.578	-230.1958	115.6095	107.717
1763319997947	0.35	0.49	0.2275	-7.32	44.896	-1017.48	-229.9035	113.1248	108.594
1763319997967	0.4375	0.455	0.07	-4.514	47.702	-1018.09	-230.342	113.5633	102.7477
1763319997987	0.455	0.4025	0.1925	-5.368	47.58	-1015.894	-228.5881	111.6633	105.2324
1763319998007	0.385	0.385	0.175	-7.442	51.972	-1021.506	-227.1266	109.1786	102.8939
